FXR_CURRENCY,,SCALE,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claims in US dollar,Shares,Units,58.96,61.98,65.10,69.28,71.01,71.14,71.52,66.50,65.45,65.51,66.52,64.87,63.88,63.77,62.15,62.25,62.70,61.50,61.28,65.17,65.75,65.36,62.73,61.76,60.75,58.92,58.80,58.52,58.42,57.79
Claims in US dollar,Nominal value,Millions,610336.6829,760041.443,828887.083,888723.9591,979782.7161,1079916.061,1122681.294,1194245.927,1454943.931,1739173.123,1891335.999,2178747.202,2633002.136,2684233.347,2848244.96,3208616.638,3538122.842,3741926.172,3813459.556,4431073.254,4873915.479,5501929.906,6280659.973,6624672.111,6725710.821,6990854.231,7085003.757,6460211.91,6690612.604,6629540.193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://data.imf.org/en/Data-Explorer?datasetUrn=IMF.STA:COFER(7.0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
